commander_id,current_name,current_order,proposed_community_order,status,notes
96f76487-00ba-4ff9-85a4-c92fe0aa6ada,"Abaddon the Despoiler / Kefka, Court Mage","Abaddon the Despoiler / Kefka, Court Mage",,,
fb517509-bec0-422e-8d5e-4603738849bb,"Abby, Merciless Soldier / Ellie, Vengeful Hunter","Abby, Merciless Soldier / Ellie, Vengeful Hunter",,,
1e85fd58-f3ec-469d-be8a-9e187bb91bb3,"Abdel Adrian, Gorion's Ward / Agent of the Iron Throne","Abdel Adrian, Gorion's Ward / Agent of the Iron Throne",,,
18fc423b-a7f0-411a-9acc-052ffdafe800,"Abdel Adrian, Gorion's Ward / Candlekeep Sage","Abdel Adrian, Gorion's Ward / Candlekeep Sage",,,
5d8f7bc6-9575-4031-9951-f7410dda5f0a,"Abdel Adrian, Gorion's Ward / Far Traveler","Abdel Adrian, Gorion's Ward / Far Traveler",,,
06196c27-a418-4b10-84ed-6f96af52e26d,"Abdel Adrian, Gorion's Ward / Haunted One","Abdel Adrian, Gorion's Ward / Haunted One",,,
48c1e360-30c6-4f77-a3cd-8ea23cebc24a,"Acererak the Archlich / Kinnan, Bonder Prodigy","Acererak the Archlich / Kinnan, Bonder Prodigy",,,
2871a0d6-d25b-456e-9bb9-5c519d8d419f,"Acolyte of Bahamut / Renari, Merchant of Marvels","Acolyte of Bahamut / Renari, Merchant of Marvels",,,
ff155a22-4f1f-4985-ae0f-5d739eeab9c2,"Acolyte of Bahamut / Volo, Itinerant Scholar","Acolyte of Bahamut / Volo, Itinerant Scholar",,,
e7c52dfa-190d-46b4-aebe-7d18139cf751,"Adric, Mathematical Genius / The Fourteenth Doctor","Adric, Mathematical Genius / The Fourteenth Doctor",,,
2497d920-da73-48b1-9d01-f784d120f93f,"Adric, Mathematical Genius / The War Doctor","Adric, Mathematical Genius / The War Doctor",,,
3027ae7a-784e-433a-a729-d2dde2dc28ba,"Agent of the Iron Throne / Baeloth Barrityl, Entertainer","Agent of the Iron Throne / Baeloth Barrityl, Entertainer",,,
b8782575-a55a-43dd-a414-efa0915d8e93,"Agent of the Iron Throne / Gut, True Soul Zealot","Agent of the Iron Throne / Gut, True Soul Zealot",,,
61337b5e-3a63-4ce1-bbac-098e41e28926,"Agent of the Iron Throne / Jaheira, Friend of the Forest","Agent of the Iron Throne / Jaheira, Friend of the Forest",,,
d685ba11-f7c3-4971-8b14-b61629f37123,"Agent of the Iron Throne / Renari, Merchant of Marvels","Agent of the Iron Throne / Renari, Merchant of Marvels",,,
eb021ff0-9cfa-450f-8d61-659e28d11827,"Agent of the Iron Throne / Volo, Itinerant Scholar","Agent of the Iron Throne / Volo, Itinerant Scholar",,,
25048a34-944c-4c6d-bbc3-bf4edab4c453,"Agent of the Shadow Thieves / Renari, Merchant of Marvels","Agent of the Shadow Thieves / Renari, Merchant of Marvels",,,
28290b22-ddfa-4ca6-8557-41b22025e967,"Agent of the Shadow Thieves / Vhal, Candlekeep Researcher","Agent of the Shadow Thieves / Vhal, Candlekeep Researcher",,,
31cbd722-048f-43e9-b270-8c535427d94a,"Akiri, Line-Slinger / Ardenn, Intrepid Archaeologist","Akiri, Line-Slinger / Ardenn, Intrepid Archaeologist",,,
2207f604-fe6c-4436-bb93-9c607aaff10f,"Akiri, Line-Slinger / Francisco, Fowl Marauder","Akiri, Line-Slinger / Francisco, Fowl Marauder",,,
fa6307fb-30fc-479e-95f7-17aa5f1b6e0e,"Akiri, Line-Slinger / Malcolm, Keen-Eyed Navigator","Akiri, Line-Slinger / Malcolm, Keen-Eyed Navigator",,,
c754188d-b699-4c9f-82f3-ebcda86f20cd,"Akiri, Line-Slinger / Silas Renn, Seeker Adept","Akiri, Line-Slinger / Silas Renn, Seeker Adept",,,
531185d6-d3be-4f0b-88e9-15a203faeb44,"Akiri, Line-Slinger / Tevesh Szat, Doom of Fools","Akiri, Line-Slinger / Tevesh Szat, Doom of Fools",,,
0baa5804-fa7b-44d3-a787-48d374766886,"Akiri, Line-Slinger / Thrasios, Triton Hero","Akiri, Line-Slinger / Thrasios, Triton Hero",,,
e6c70bf4-e8a5-4ce8-8434-376101de449c,"Akroma, Vision of Ixidor / Tymna the Weaver","Akroma, Vision of Ixidor / Tymna the Weaver",,,
a81558a8-99ce-42d2-bde3-49b2cb8a0a4c,"Akroma, Vision of Ixidor / Vial Smasher the Fierce","Akroma, Vision of Ixidor / Vial Smasher the Fierce",,,
85544fac-1cab-47b4-a12f-a0ffed5aeb5d,"Alena, Kessig Trapper / Gilanra, Caller of Wirewood","Alena, Kessig Trapper / Gilanra, Caller of Wirewood",,,
b011b038-bc0f-4bce-bd7f-3d47c2121882,"Alisaie Leveilleur / Alphinaud Leveilleur","Alisaie Leveilleur / Alphinaud Leveilleur",,,
4295c871-1aab-4028-a88f-f6f13d82f617,"Anara, Wolvid Familiar / Ishai, Ojutai Dragonspeaker","Anara, Wolvid Familiar / Ishai, Ojutai Dragonspeaker",,,
d46a7f50-1e03-45f5-97ff-67357a6572fa,"April O'Neil, Live on the Scene / Leonardo, the Balance","April O'Neil, Live on the Scene / Leonardo, the Balance",,,
c404ff71-1ca2-4bf8-9b24-6cc385354dca,"Arabella, Abandoned Doll / Delney, Streetwise Lookout","Arabella, Abandoned Doll / Delney, Streetwise Lookout",,,
a3c3177e-9796-4f8a-b3ac-f8bb6275cda9,"Arcum Dagsson / Urtet, Remnant of Memnarch","Arcum Dagsson / Urtet, Remnant of Memnarch",,,
6db49f05-8264-48c9-ad0c-ed080c50221c,"Ardenn, Intrepid Archaeologist / Esior, Wardwing Familiar","Ardenn, Intrepid Archaeologist / Esior, Wardwing Familiar",,,
b9f6aba3-4533-48c8-8afb-ad545254267a,"Ardenn, Intrepid Archaeologist / Kediss, Emberclaw Familiar","Ardenn, Intrepid Archaeologist / Kediss, Emberclaw Familiar",,,
3eaa5ed3-b0d2-48a8-b9c4-81a7118384bf,"Ardenn, Intrepid Archaeologist / Kraum, Ludevic's Opus","Ardenn, Intrepid Archaeologist / Kraum, Ludevic's Opus",,,
315b3b55-876e-42f4-84e8-145382ad929b,"Ardenn, Intrepid Archaeologist / Nadu, Winged Wisdom","Ardenn, Intrepid Archaeologist / Nadu, Winged Wisdom",,,
7423edce-8de7-4253-bb3e-998d0f58eb15,"Ardenn, Intrepid Archaeologist / Rograkh, Son of Rohgahh","Ardenn, Intrepid Archaeologist / Rograkh, Son of Rohgahh",,,
7a0b2c66-852a-488c-a9d6-e032c8d0698e,"Ardenn, Intrepid Archaeologist / Silas Renn, Seeker Adept","Ardenn, Intrepid Archaeologist / Silas Renn, Seeker Adept",,,
f626bf8d-0f37-438f-b144-f5192cef91c9,"Ardenn, Intrepid Archaeologist / Tana, the Bloodsower","Ardenn, Intrepid Archaeologist / Tana, the Bloodsower",,,
c2de69a2-924e-4e5a-a47c-224db1089f1f,"Ardenn, Intrepid Archaeologist / Thrasios, Triton Hero","Ardenn, Intrepid Archaeologist / Thrasios, Triton Hero",,,
72b2390d-c319-4605-ac3c-b0bc15da8214,"Ardenn, Intrepid Archaeologist / Tymna the Weaver","Ardenn, Intrepid Archaeologist / Tymna the Weaver",,,
815d7e0b-dc90-4b98-a0fa-c2fee38d5e0e,"Ardenn, Intrepid Archaeologist / Vial Smasher the Fierce","Ardenn, Intrepid Archaeologist / Vial Smasher the Fierce",,,
1b503e1b-5af6-42eb-aaa0-03cdfa28123c,"Armix, Filigree Thrasher / Jeska, Thrice Reborn","Armix, Filigree Thrasher / Jeska, Thrice Reborn",,,
911683ac-a890-4d7c-a861-8bff97e89438,"Armix, Filigree Thrasher / Kraum, Ludevic's Opus","Armix, Filigree Thrasher / Kraum, Ludevic's Opus",,,
e05522c3-052b-47f2-a38e-0a4e020368bf,"Armix, Filigree Thrasher / Kydele, Chosen of Kruphix","Armix, Filigree Thrasher / Kydele, Chosen of Kruphix",,,
4afa480f-709b-45ee-9df5-9061e579d974,"Armix, Filigree Thrasher / Rebbec, Architect of Ascension","Armix, Filigree Thrasher / Rebbec, Architect of Ascension",,,
9350ae89-3529-4bce-809c-83fb542d3d7e,"Armix, Filigree Thrasher / Rograkh, Son of Rohgahh","Armix, Filigree Thrasher / Rograkh, Son of Rohgahh",,,
9a2a30ee-4170-4c85-85bc-01bd36c39dbc,"Armix, Filigree Thrasher / Tevesh Szat, Doom of Fools","Armix, Filigree Thrasher / Tevesh Szat, Doom of Fools",,,
a7a8b77e-f2d2-44bd-ac8c-ea21ba8ca738,"Armix, Filigree Thrasher / Thrasios, Triton Hero","Armix, Filigree Thrasher / Thrasios, Triton Hero",,,
019a4495-f7d2-4e8b-ae2d-72d1c3514546,"Armix, Filigree Thrasher / Tymna the Weaver","Armix, Filigree Thrasher / Tymna the Weaver",,,
583a031d-5547-4fac-9d28-3be5681c4796,"Ashcoat of the Shadow Swarm / Karumonix, the Rat King","Ashcoat of the Shadow Swarm / Karumonix, the Rat King",,,
f325b462-31cd-46e9-bc8e-9cf9918ead68,"Atraxa, Grand Unifier / Rograkh, Son of Rohgahh","Atraxa, Grand Unifier / Rograkh, Son of Rohgahh",,,
92e9c84d-a10b-426c-a0d6-3045b48e717b,"Atreus, Impulsive Son / Kratos, Stoic Father","Atreus, Impulsive Son / Kratos, Stoic Father",,,
b24b78d8-c807-4ff6-a38b-10d64a8e31d2,"Azlask, the Swelling Scourge / Ulalek, Fused Atrocity","Azlask, the Swelling Scourge / Ulalek, Fused Atrocity",,,
13acab66-9ce1-4fdf-ace2-9ad305491b24,"Baeloth Barrityl, Entertainer / Noble Heritage","Baeloth Barrityl, Entertainer / Noble Heritage",,,
dd509952-482b-46c5-8baa-de62b81b0801,"Baeloth Barrityl, Entertainer / Raised by Giants","Baeloth Barrityl, Entertainer / Raised by Giants",,,
29d8294d-342f-4c55-bf7b-e94e1fd63d9d,"Birgi, God of Storytelling / Jhoira, Weatherlight Captain","Birgi, God of Storytelling / Jhoira, Weatherlight Captain",,,
